epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,3426.65,0.58292,0.40326,1.07484,0.00235,0.98696,0.98535,0.98705,0.94686,0.35378,0.25256,0.96055,0.00258,0.000333295,0.000333295,0.0670038
2,5842.56,0.43832,0.30441,0.98898,0.0015,0.98786,0.98678,0.98682,0.96212,0.28642,0.2124,0.92917,0.00232,0.000664821,0.000664821,0.034002
3,8261.94,0.38609,0.27867,0.9652,0.00133,0.98807,0.98824,0.98682,0.9705,0.25413,0.19224,0.91285,0.00203,0.000989145,0.000989145,0.00099295
4,10667.4,0.35295,0.25742,0.95183,0.00126,0.9887,0.98891,0.987,0.97368,0.22857,0.18018,0.90275,0.00199,0.000975773,0.000975773,0.000975773
5,13079.8,0.33059,0.2456,0.94134,0.00122,0.98866,0.98861,0.98743,0.97595,0.21619,0.1726,0.89957,0.00196,0.000957205,0.000957205,0.000957205
6,15505.7,0.31387,0.23647,0.93558,0.00121,0.98822,0.98843,0.98692,0.97652,0.20969,0.16855,0.89535,0.00199,0.000933683,0.000933683,0.000933683
7,17959.1,0.29849,0.22653,0.93037,0.00122,0.98823,0.98893,0.98694,0.97728,0.19992,0.16191,0.89221,0.00192,0.000905463,0.000905463,0.000905463
8,20371.5,0.29315,0.22101,0.92697,0.00124,0.9884,0.9888,0.9876,0.9783,0.19988,0.16221,0.89229,0.00193,0.000872857,0.000872857,0.000872857
9,22773.3,0.28376,0.21951,0.92414,0.00118,0.98888,0.98913,0.98704,0.97763,0.19219,0.16074,0.88837,0.00193,0.00083622,0.00083622,0.00083622
10,25191.1,0.27423,0.21045,0.92043,0.00119,0.98729,0.98937,0.98689,0.97709,0.18603,0.1701,0.88755,0.00192,0.000795954,0.000795954,0.000795954
11,48913.8,0.26935,0.21048,0.91934,0.00119,0.98853,0.98933,0.98727,0.97869,0.18192,0.15318,0.88551,0.00186,0.0007525,0.0007525,0.0007525
12,51340.1,0.26214,0.20357,0.91763,0.00117,0.98902,0.98873,0.98663,0.97874,0.17793,0.14824,0.88502,0.00188,0.000706335,0.000706335,0.000706335
13,68122.2,0.25765,0.3528,0.91427,0.00115,0.98898,0.98939,0.98714,0.97992,0.17142,0.14547,0.88214,0.00184,0.000657963,0.000657963,0.000657963
14,90828.7,0.2544,0.19968,0.91499,0.00117,0.98902,0.98952,0.98716,0.98036,0.17308,0.14266,0.88185,0.00185,0.000607916,0.000607916,0.000607916
15,97859.8,0.24889,0.20662,0.91226,0.00114,0.98864,0.98938,0.98686,0.97879,0.16789,0.14845,0.88106,0.00187,0.000556742,0.000556742,0.000556742
16,100269,0.24457,0.19414,0.91097,0.00113,0.98864,0.98935,0.98658,0.97869,0.16639,0.14647,0.88019,0.00184,0.000505,0.000505,0.000505
17,102673,0.23757,0.18833,0.90858,0.00113,0.98922,0.98941,0.98695,0.97999,0.163,0.14215,0.8793,0.00182,0.000453258,0.000453258,0.000453258
18,105078,0.23442,0.18353,0.90789,0.00116,0.98884,0.98946,0.98678,0.98022,0.16064,0.14017,0.8791,0.00184,0.000402084,0.000402084,0.000402084
19,107483,0.22934,0.1802,0.90624,0.00112,0.98865,0.98953,0.98712,0.98016,0.16091,0.14419,0.87816,0.00185,0.000352037,0.000352037,0.000352037
20,109886,0.22693,0.17758,0.9064,0.00111,0.98896,0.98953,0.98717,0.97992,0.15749,0.15571,0.87768,0.00182,0.000303665,0.000303665,0.000303665
21,112215,0.17985,0.86438,0.87884,0.00119,0.98888,0.98942,0.98775,0.98117,0.16484,0.13912,0.87769,0.0018,0.0002575,0.0002575,0.0002575
22,114513,0.17299,2.45024,0.87555,0.00114,0.98896,0.98947,0.98745,0.98088,0.16462,0.13751,0.87768,0.00177,0.000214046,0.000214046,0.000214046
23,116810,0.16805,1.28525,0.87492,0.00113,0.98901,0.98926,0.98777,0.98117,0.16408,0.13796,0.87752,0.00178,0.00017378,0.00017378,0.00017378
24,119114,0.1643,1.61502,0.87413,0.00117,0.989,0.98946,0.98749,0.981,0.16181,0.13441,0.87707,0.00178,0.000137143,0.000137143,0.000137143
25,121411,0.16133,0.827,0.87414,0.00115,0.98912,0.98939,0.98771,0.9812,0.1612,0.13304,0.87736,0.00178,0.000104537,0.000104537,0.000104537
26,123704,0.15876,0.76068,0.87343,0.00114,0.98897,0.9895,0.98799,0.98142,0.16086,0.13282,0.87717,0.00178,7.63174e-05,7.63174e-05,7.63174e-05
27,126005,0.15706,1.64462,0.87233,0.00114,0.98906,0.98955,0.98782,0.9814,0.16069,0.13227,0.87748,0.00177,5.2795e-05,5.2795e-05,5.2795e-05
28,128305,0.15463,0.589,0.87125,0.00112,0.98893,0.98945,0.98766,0.98116,0.15959,0.13162,0.8773,0.00177,3.4227e-05,3.4227e-05,3.4227e-05
29,130610,0.153,0.73389,0.87229,0.00112,0.98896,0.98943,0.9877,0.98118,0.15957,0.13204,0.87734,0.00177,2.08169e-05,2.08169e-05,2.08169e-05
30,132906,0.15229,0.90416,0.87213,0.00109,0.98891,0.98947,0.9877,0.98111,0.16013,0.13188,0.87748,0.00177,1.27117e-05,1.27117e-05,1.27117e-05
